ztf_id,label,redshift,total_span,n_detections,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF19aapfnym,SN II,0.034,87.8550347997807,15,18.56673,58.874074099585414,5,19.7304244,0.0,0.0,-5.061522009237608,0.4633925000000003,-0.5638910016299155,-1.493315103859984,0.0,18.599295,83.87709499988705,10,19.0878256,0.0,0.0,-1.9978051842954923,0.1339501111111111,-0.5772746870371003,-0.9134864408771284,0.0,-0.03256500000000173,0.7019088357753055,-17.250780658738307
ZTF19aapafit,SN II,0.01860,163.69704860029742,63,17.6802,113.78966430015862,26,18.46446080769231,12.110723330070595,6.018090300261974,-6.634700050802093,0.09494696000000005,0.6208442456998122,0.528968922960344,0.05584116550313857,17.666134,163.65099540026858,37,18.189842513513515,8.42354356505262,24.910648200195283,-5.253808092060175,0.0865272222222223,1.2880226485024802,-0.03419873607366908,0.17954869439869847,0.01406599999999969,0.6953191089479427,-16.827480794616612
ZTF19aaoyjoz,SN Ia,0.0615,58.92129629990086,15,18.221203,28.021157399751246,7,18.709936285714285,27.486948361303277,11.9347685999237,-21.144435156240696,0.3792756666666672,0.3689062170948133,-1.6557076458844835,0.7419172039439732,18.208282,58.901099499780685,8,18.97346225,20.302729510624978,15.977650499902666,-10.19464759921705,0.4356741428571428,0.590813575791588,-1.1469389066880806,0.3722359426417032,0.012920999999998628,0.47573233161556827,-18.883288652404115
ZTF19aaoyech,SN Ia,0.06,58.93395829992369,26,18.236874,53.00350689981133,11,19.162945363636364,30.87877223386106,11.948784700129181,-11.228038922297793,0.41940469999999974,0.8824789721726384,0.19234791907872273,0.2910453185388182,18.538109,58.895208300091326,15,19.41130293333333,22.37878397516425,12.998263800051063,-6.985125189809998,0.2734422142857146,0.20341451391728607,-1.3577874846139615,0.2832054277608755,-0.30123499999999837,0.8999629754213662,-18.813998325445247
ZTF19aaozpew,SN Ia,0.06,86.8929397999309,31,17.125845,86.8929397999309,18,19.094357444444448,95.4471121131816,12.121539399959147,-17.966990466574362,0.3353483529411764,-0.5179383881232027,-1.3397051037217458,0.16211464992119803,17.356005,70.90567130036652,13,18.67955138461539,57.986214465597165,15.918136500287801,-18.191044048823034,0.36322325000000016,-0.45307474195576014,-0.8283113097756667,0.28948627281005174,-0.23015999999999792,1.2254723523008482,-19.925027325445246
ZTF19aaozplq,SN Ia,0.1,37.91328699979931,19,18.627062,31.98195599997416,8,19.219696624999997,18.903432130475604,12.119236099999398,-12.999081229194783,0.3640251428571431,0.5043635097556847,-1.0136836622948222,0.6101498768058847,18.73443,37.878101899754256,11,19.30774618181818,24.44014910456882,8.930497699882835,-5.8112307718405,0.2240947000000002,-0.1369794678444004,-0.920908329829893,0.3085055895548863,-0.10736800000000102,0.84433892924771,-19.53305407352703
ZTF19aapadxs,SN IIb,0.035,66.91696760011837,26,18.996222,31.12026620004326,10,19.548334399999998,15.520364939605793,12.026446799747646,-10.153826954990734,0.33959511111111124,0.83292681100858,-0.7059264636765517,0.6298607181526735,18.24075,60.99935180041939,16,19.0545889375,17.671679987717674,11.000231500249356,-8.345188652882266,0.20462546666666698,0.2526395764091199,-1.4383986841115588,0.2200085008338026,0.755472000000001,0.5101737195808906,-16.884234295278407
ZTF19aaqtyku,SN Ia,0.0234,92.92653940012679,61,17.06601,80.95020839991048,28,18.676739928571426,96.01120366619155,11.9082524003461,-20.191618616628137,0.2735604074074076,-0.04546172478317193,-1.5475024235090495,0.1724784912006438,16.828117,92.81950230011716,33,18.315696181818186,116.36934441815171,11.886712899897248,-21.086694428243504,0.16948256250000004,-0.20408730629308725,-1.4383607830747225,0.14687141006738794,0.2378929999999997,0.8721249995304952,-17.94018536057775
ZTF19aapfmki,SN Ibn,0.05469,28.915543999988586,11,17.386992,28.915543999988586,6,18.59332733333333,120.63102933838404,2.914537000004202,-38.72805276561292,0.5994978000000003,0.2366504782325677,-1.3078319049630542,0.11209323546607071,17.631922,25.91306719975546,5,18.8503938,0.0,0.0,-31.494903580323836,0.6909454999999998,0.33273400186432633,-1.5857085676562686,0.0,-0.2449300000000001,1.1158672872295665,-19.462663690400227
ZTF19aapafqd,SN II,0.0321,129.74866899987683,57,18.471483,100.74026619968936,25,19.048015000000003,7.044511672513824,35.89319449989125,-4.724295238921011,0.1110028749999999,0.4374298623063567,-1.1803907399767115,0.5535052479478885,18.328918,108.86568289995193,30,18.7167058,7.16122181839784,35.98291670018807,-3.7382541024525824,0.07303896551724091,0.5638115048599672,-0.9920637530640799,0.4937095362374522,0.1425649999999976,0.9253629198493167,-17.221158235551393
ZTF19aapbfot,SN II,0.03,91.71376150008291,36,18.758877,82.83215279970318,15,19.761226466666663,9.25185434652708,3.0384837999008596,-3.229808766013868,0.18184228571428637,-0.45762847669728857,-1.0894620169105633,0.03807925914408557,18.711422,91.71376150008291,21,19.124015666666665,3.837628875117671,24.877407400403172,-2.9608152857482715,0.08785895000000057,0.36117456472736764,-0.7646871752872997,0.37221371116834123,0.04745499999999936,0.9031594762322369,-16.786845347125343
ZTF19aapbgmp,SN Ia,0.08,59.97465280024335,16,18.122122,50.976794000249356,7,19.291140285714285,1.2954733828368672,12.008703700266778,-13.17834263353856,0.44239266666666605,0.26715675984581905,-1.271466616445925,0.30816762145185617,17.937769,59.95031249988824,9,19.063720333333336,26.181740433437557,6.932210699655116,-10.902196482465135,0.31484512500000017,-0.1579519954732605,-1.7012875704117403,0.13075177089091172,0.18435300000000154,0.850317402437967,-19.553444008486746
ZTF19aaphmto,SN Ia,0.08,60.89434020034969,15,18.124458,49.08197910012677,5,19.0549398,0.0,0.0,-10.611144714517067,0.7056104999999997,0.8765823431584775,-0.8110344096936961,0.0,18.100176,60.89434020034969,10,18.9400597,18.38374414581261,6.998831000179052,-9.31436091578632,0.2790259999999998,0.6621491743982548,-1.047856421768738,0.12985926107841456,0.02428199999999947,0.806018735709118,-19.551108008486747
ZTF19aapeime,SN Ia,0.02789,55.93932870030403,19,18.920513,25.150416599586606,11,19.25088627272727,17.239419388368486,6.009236099664122,-8.478683765487723,0.16793939999999985,1.235640549960895,1.0576145303067488,0.3139428155796586,17.723154,55.93932870030403,8,18.33093775,39.30672369499244,6.0250463001430035,-13.835421434611002,0.3466159999999999,1.4001102976436721,0.889084128865969,0.1207078617667068,1.1973589999999987,0.44960168782736776,-16.466845644857273
