ztf_id,label,g_peak,g_duration,burst_ratio,g_rise,g_stability,r_peak,r_duration,r_rise,r_stability,peak_color,abs_mag_g
ZTF18abcrxoj,SN Ia,16.515703,66.03525459999219,1.0,144.46252205563442,0.3311766363636369,16.933338,75.8643403002061,67.34632106152324,0.24916227777777797,-0.41763500000000064,-19.0942054706512
ZTF18abcvush,SN Ia,18.21429,16.97949070017785,1.0,0.0,0.3602775000000005,18.114187,39.866284700110555,29.916467358905543,0.24814733333333314,0.10010299999999717,-18.440676095207124
ZTF18abcflnz,SN Ia,16.24954,88.77347220014781,0.04279250783076708,165.0253733830275,0.39008661538461536,16.453867,97.81430559977889,159.8577681625352,0.2719464285714288,-0.20432699999999926,-18.81163228208506
ZTF18abdfazk,SN Ia,18.539438,38.992048599757254,0.9382278727150782,23.2573962663859,0.6388447999999997,18.706697,46.9061921001412,19.93342496434324,0.3341005714285719,-0.16725899999999783,-19.318274336620117
ZTF18abdfwur,SN Ia,18.413471,35.92965279985219,1.0,31.92743699176125,0.21054066666666646,18.545078,49.89687500009313,17.27785611230507,0.1540276666666666,-0.13160699999999892,-18.97213527359831
ZTF18abdefet,SN Ia,18.870338,18.914074100088328,1.0,14.656125961523546,0.22425020000000018,18.680918,42.99112269980833,12.619714247896818,0.3200303750000004,0.18942000000000192,-18.66508439048553
ZTF18abdffeo,SN Ib/c,18.220215,14.005115699954331,1.0,13.20495168178891,0.32122433333333333,17.524967,39.93380790017545,62.17488328671619,0.3030535000000003,0.6952479999999994,-15.78974194351149
ZTF18abdbuty,SN Ia,18.24266,36.0234375,1.0,7.950044693656437,0.3559051428571424,18.19234,42.84747689962387,19.741035029802052,0.2751546666666663,0.050319999999999254,-19.292762390485528
ZTF18abdgwxn,SN Ia,18.704042,15.126354100182652,0.7529989337497055,20.556669001915086,0.2629362499999992,18.707214,13.941099499817938,0.0,99.0,-0.0031719999999992865,-18.48017746713284
ZTF18abcysdx,SN Ia,19.021154,38.968125000130385,0.9994796043908564,10.83984608216852,0.41109920000000033,18.765326,32.844930599909276,6.178233943655414,0.21670139999999946,0.2558279999999975,-18.26933608703116
ZTF18abdbysy,SN II,19.230963,73.0279862000607,0.9979808002644065,6.0405525537605484,0.28772633333333353,18.325754,81.79652779968455,12.711241366102358,0.05299676190476143,0.9052089999999993,-14.188772653757564
ZTF18abdiwpt,SN Ia,17.962704,47.05111109977588,1.0,15.177128364570304,0.19188446666666673,17.86917,67.81946759996936,28.138111640378952,0.20549700000000012,0.09353399999999823,-19.514026374129305
ZTF18abdkimx,SN Ia,18.489197,40.9765625,0.9322352835974536,26.59946834213832,0.34995533333333345,18.627623,43.85280090011656,12.839657265161767,0.1785640000000002,-0.13842599999999905,-19.186369008486746
ZTF18abdrmin,SN Ia,17.839153,40.94672460015863,0.8546578643624527,54.47973829666946,0.7778721666666671,17.890312,52.922106500249356,20.961197599027212,0.25959399999999944,-0.05115900000000195,-18.88168514460145
ZTF18abdrbqp,SN IIP,17.829088,44.00666669989005,1.0,14.288056178717822,0.15504300000000035,17.93186,29.022986100055277,0.0,0.041535666666667005,-0.10277200000000164,-16.724796078291178
ZTF18abecbks,SN Ic,18.43128,75.7446297002025,1.0,39.40357865617294,0.2510398333333332,17.907724,75.85306710004807,32.5742364917498,0.2140803750000002,0.5235559999999992,-17.148910886864847
