ztf_id,label,redshift,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_mean_gap,dq_frac_imputed,dq_log_n,dq_sampling_density,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF18aaxkjmm,SN Ia,0.0661,21,0.23809523809523808,0.7619047619047619,71.89046300016344,12.895763900130987,3.594523150008172,0.0,1.3222192947339193,0.2921110690294519,18.309984,27.991041600238532,5,19.358924400000003,0.0,0.0,-13.919441425724392,0.4678034999999996,-0.3199806278623858,-1.5545709416786526,0.0,18.234081,71.89046300016344,16,19.0959995,13.726202977917104,5.972430599853396,-6.819777486569247,0.1771350000000003,0.7280684915583597,-0.714032683312726,0.0906038967240974,0.07590300000000028,0.38935681357588275,-18.951139370955225
ZTF18abauprj,SN Ia-91T,0.028,49,0.40816326530612246,0.5918367346938775,105.96104170009494,7.879409800283611,2.207521702085311,0.0,1.6901960800285136,0.4624341098748947,15.568087,105.86162040010095,20,17.8687199,386.68133881206955,14.927025499753654,-61.92897986182628,0.3833781578947365,-0.8533608812514213,-0.23630119209635003,0.16415122887072592,15.686948,105.91917830007151,29,17.44119124137931,244.37999483251144,21.0482986997813,-58.88247120441658,0.2436277857142858,-0.057635376491983546,-0.853268973061962,0.24800377701881773,-0.118860999999999,0.9994565866078804,-19.827819230238127
ZTF18abaxlpi,SN Ia,0.0646,16,0.4375,0.5625,56.00490739988163,20.0914352000691,3.7336604933254423,0.0,1.2041199826559248,0.2856892501537074,18.309412,20.934259300120175,7,18.657914714285713,26.470715646385614,6.040243100374937,-16.2441701930327,0.20340316666666722,0.25424385612018485,-0.89146486635661,0.4055483100977328,18.375103,56.00490739988163,9,19.05939322222222,31.73066687564991,8.966111099813133,-7.850508089678062,0.3754668750000003,0.8544312347636146,0.041027519913931165,0.19061098082988312,-0.06569100000000105,0.373793302623413,-18.90186666350245
ZTF18abbpeqo,SN Ia,0.06678,35,0.2,0.8,84.87747689988464,11.97915509995073,2.4963963794083717,0.0,1.5440680443502757,0.41235910018017474,18.161358,28.97155090002343,7,18.544044857142854,31.297746520014083,8.97732640011236,-17.933733955226774,0.3264341666666664,1.0050634260138955,-0.5160558269372122,0.44899597882139863,18.103098,84.87747689988464,28,19.089056785714284,37.568147799403654,12.085034700110555,-6.837603011478032,0.16670307407407414,0.18711725655913086,-1.2835152845213482,0.16602045947220687,0.058260000000000645,0.3413337902845084,-19.121990147118787
ZTF18abbvsiv,SN Ia,0.051,13,0.46153846153846156,0.5384615384615384,64.99954860005528,17.90983790019527,5.416629050004606,0.0,1.1139433523068367,0.20000138893255243,17.662952,16.082025500014424,6,17.899461499999997,35.445601166308805,6.999664400238544,-38.4159319568471,0.1867365999999997,0.38432284379445225,-1.2199735012712676,0.7706877455479357,17.817986,64.99954860005528,7,18.808269,26.09411218812201,16.06009260006249,-12.895182189676103,0.4875801666666663,-0.14851084776506365,-1.1819735095320738,0.3281624667030393,-0.15503400000000056,0.2474174951424316,-19.035014954016713
ZTF18abckutn,SN IIP,0.0401,32,0.34375,0.65625,90.87925919983536,8.00240739993751,2.931589006446302,0.0,1.505149978319906,0.3521155462946156,19.033085,84.9544329000637,11,19.780827636363636,3.111190605366083,5.97811339981854,-2.245130319045513,0.19532570000000044,0.16578004832409082,-1.8557103605220382,0.0756950113356445,19.016418,90.87925919983536,21,19.364135857142852,7.802246686077727,17.979999999981374,-1.716783053583187,0.10666224999999976,0.6751127775244959,0.7884196128041379,0.2466417381648425,0.01666699999999821,0.9348055172110998,-17.142752936627943
ZTF18abclfee,SN Iax,0.03,32,0.28125,0.71875,55.81106479978189,8.935891200322658,1.8003569290252222,0.0,1.505149978319906,0.5733630081203012,18.535975,25.167638899758458,9,19.125994000000002,28.55929495312728,5.975833300035447,-17.397461913049227,0.3732810000000004,1.5843506159643683,1.715660000234772,0.3113742096325577,18.564842,55.81106479978189,23,19.49238947826087,25.930998297442517,11.95813659997657,-6.756827762679536,0.20152031818181806,0.016319512770813217,-1.6926986419210703,0.27268730027541593,-0.0288669999999982,0.4509435358390943,-17.00974734712534
ZTF18abcezmh,SN II,0.057,18,0.3333333333333333,0.6666666666666666,45.851446699816734,13.049745399970561,2.6971439235186314,0.0,1.255272505103306,0.3925721279383742,19.328283,17.816701299976557,6,19.618817166666666,6.5448716848281405,8.811851799953729,-10.550425119698863,0.23646220000000043,0.5449783410504198,-1.0351546686276367,0.9785673597244895,18.930986,45.851446699816734,12,19.436307499999998,16.828048082065006,9.013182899914682,-5.396615286127408,0.22465045454545451,0.7961454157657949,-0.6575073370622473,0.2446690470775837,0.39729699999999823,0.38857446345412194,-17.61120735188949
ZTF18abcsgvj,SN Ia,0.06,15,0.5333333333333333,0.4666666666666667,35.87450239993632,6.082326399628073,2.5624644571383084,0.0,1.1760912590556813,0.4181242664435292,18.398808,29.792176000308245,8,19.127601375,32.80994556923359,11.88047460000962,-17.945798635946645,0.551515285714286,1.0144990104976275,-0.27028482852418767,0.6632800723113633,18.412458,32.976793999783695,7,18.850044999999998,23.405530234131003,12.036435199901462,-11.079153630796231,0.33102333333333317,0.5991200025366731,-0.9798558347889585,0.5747960345344777,-0.013650000000001938,0.9034285140181808,-18.65206432544525
ZTF18abceakp,SN II,0.03,16,0.5625,0.4375,18.01552079990506,5.992615699768066,1.2010347199936708,0.0,1.2041199826559248,0.888123089957206,17.994673,12.022905100136995,9,18.14756088888889,31.386556802161437,9.004594900179654,-19.46857645922959,0.09328762500000032,2.0452409435472987,2.9308002034724714,2.983323218503824,18.048172,17.978657399769872,7,18.437573142857143,36.9362201873592,9.080821800045669,-33.02986852157601,0.2778918333333327,0.28028091470419425,-1.4794142462251982,1.02056524851135,-0.053499000000002184,0.6687320878749761,-17.551049347125343
